lokacija,povrsina,cena,razdalja,datum
"Primorsko-goranska, Opatija",40.57 m2,375.000 €,79.52 km,25.06.2025
"Istrska, Pazin - Okolica",72.76 m2,160.000 €,98.52 km,25.06.2025
"Istrska, Umag",55.28 m2,215.000 €,98.58 km,25.06.2025
"Primorsko-goranska, Opatija - Okolica",220 m2,1.200.000 €,80.61 km,25.06.2025
"Primorsko-goranska, Rijeka",67.88 m2,185.000 €,77.53 km,25.06.2025
"Primorsko-goranska, Rijeka",116 m2,310.000 €,77.45 km,24.06.2025
"Primorsko-goranska, Rijeka",132 m2,495.000 €,77.48 km,24.06.2025
"Zreče, Skomarje",64.1 m2,Cena po dogovoru,76.18 km,23.06.2025
"Ljubljana Moste Polje, Štepanjsko naselje",27 m2,189.000 €,4.87 km,23.06.2025
"Bled, Bohinjska Bela",106 m2,279.000 €,46.58 km,23.06.2025
"Primorsko-goranska, Rijeka",70 m2,190.000 €,77.56 km,20.06.2025
"Primorsko-goranska, Opatija",120 m2,570.000 €,79.57 km,20.06.2025
"Ljubljana Center, Center",349.4 m2,1.175.000 €,1.87 km,20.06.2025
"Mislinja, Šentilj pod Turjakom",74 m2,85.000 €,70.01 km,20.06.2025
"Mislinja, Šentilj pod Turjakom",36 m2,36.000 €,70.13 km,20.06.2025
"Ljubljana Vič Rudnik, Rožna dolina",176.4 m2,1.195.000 €,856 km,20.06.2025
"Primorsko-goranska, Rijeka",125 m2,333.000 €,77.80 km,19.06.2025
"Primorsko-goranska, Rijeka",83.4 m2,170.000 €,77.45 km,18.06.2025
"Primorsko-goranska, Viškovo",141.89 m2,335.000 €,73.08 km,18.06.2025
"Istrska, Kršan",67 m2,260.000 €,97.89 km,18.06.2025
"Primorsko-goranska, Ravna Gora",345 m2,415.000 €,83.16 km,18.06.2025
"Primorsko-goranska, Mošćenička Draga",130 m2,340.000 €,94.48 km,18.06.2025
"Primorsko-goranska, Opatija",216 m2,2.900.000 €,79.55 km,18.06.2025
"Slovenska Bistrica, Slovenska Bistrica",58.3 m2,140.000 €,91.95 km,18.06.2025
"Moravče, Moravče",300 m2,350.000 €,22.46 km,18.06.2025
"Ivančna Gorica, Vrh pri Višnji Gori",212.6 m2,175.000 €,21.00 km,18.06.2025
"Komenda, Žeje pri Komendi",140 m2,360.000 €,16.64 km,18.06.2025
"Grosuplje, Grosuplje",56.7 m2,150.000 €,16.55 km,18.06.2025
"Primorsko-goranska, Crikvenica",250 m2,990.000 €,96.23 km,18.06.2025
"Istrska, Umag",58.8 m2,330.800 €,98.73 km,17.06.2025
"Istrska, Umag",37.4 m2,210.400 €,98.72 km,17.06.2025
"Istrska, Umag",71.4 m2,401.700 €,98.79 km,17.06.2025
"Istrska, Umag",67.1 m2,377.500 €,98.80 km,17.06.2025
"Istrska, Umag",143.4 m2,806.700 €,98.69 km,17.06.2025
"Istrska, Umag",133.6 m2,751.500 €,98.66 km,17.06.2025
"Primorsko-goranska, Kastav",239 m2,100.000 €,75.22 km,17.06.2025
"Mislinja, Mislinja",222 m2,285.000 €,67.99 km,17.06.2025
"Dravograd, Dravograd",56 m2,69.900 €,73.01 km,17.06.2025
"Celje, Ljubečna",204.5 m2,300.000 €,68.87 km,17.06.2025
"Primorsko-goranska, Kastav",300 m2,100 €,75.07 km,17.06.2025
"Postojna, Postojna",133.4 m2,329.000 €,36.65 km,16.06.2025
"Rače, Fram",104.9 m2,85.000 €,97.46 km,16.06.2025
"Rače, Morje",203.2 m2,219.000 €,98.41 km,16.06.2025
"Primorsko-goranska, Kostrena",330 m2,1.900.000 €,82.98 km,15.06.2025
"Primorsko-goranska, Opatija",69 m2,710.000 €,79.52 km,15.06.2025
"Primorsko-goranska, Rijeka",74.85 m2,365.000 €,77.60 km,14.06.2025
"Istrska, Umag",40.04 m2,185.000 €,98.91 km,14.06.2025
"Kranj, Stražišče",197.5 m2,413.000 €,23.44 km,13.06.2025
"Istrska, Grožnjan",90 m2,208.000 €,92.53 km,13.06.2025
"Primorsko-goranska, Opatija",140 m2,878.000 €,79.57 km,13.06.2025
"Primorsko-goranska, Omišalj",55 m2,178.000 €,93.88 km,13.06.2025
"Istrska, Grožnjan",682 m2,1.670.000 €,92.32 km,13.06.2025
"Slovenska Bistrica, Klopce",128 m2,115.000 €,94.24 km,13.06.2025
"Slovenska Bistrica, Slovenska Bistrica",128.7 m2,189.000 €,92.01 km,13.06.2025
"Ljubljana Moste Polje, Zalog",88.4 m2,350.000 €,9.87 km,13.06.2025
"Ljubljana Vič Rudnik, Vič - Dolgi most",23 m2,135.000 €,1.83 km,13.06.2025
Hrvaška,67.86 m2,Cena po dogovoru,98.73 km,13.06.2025
"Medvode, Golo Brdo",57 m2,700 €,9.20 km,12.06.2025
"Grosuplje, Velika Stara vas",244.5 m2,680.000 €,16.35 km,12.06.2025
"Celje, Nova vas",155 m2,480.000 €,63.88 km,11.06.2025
"Primorsko-goranska, Opatija",101.29 m2,685.200 €,79.51 km,11.06.2025
"Primorsko-goranska, Opatija",107.41 m2,718.500 €,79.53 km,11.06.2025
"Primorsko-goranska, Opatija - Okolica",200 m2,890.000 €,80.74 km,11.06.2025
"Primorsko-goranska, Crikvenica",39.92 m2,168.000 €,96.30 km,11.06.2025
"Primorsko-goranska, Crikvenica",51.55 m2,215.000 €,96.28 km,11.06.2025
"Istrska, Umag",121 m2,480.000 €,98.75 km,11.06.2025
"Primorsko-goranska, Rijeka",144 m2,400.000 €,77.55 km,11.06.2025
"Primorsko-goranska, Rijeka",300 m2,695.000 €,77.65 km,11.06.2025
"Primorsko-goranska, Crikvenica",80 m2,265.000 €,96.22 km,11.06.2025
"Žalec, Zabukovica",160 m2,165.000 €,54.99 km,11.06.2025
"Istrska, Umag",56.04 m2,217.000 €,98.90 km,11.06.2025
"Istrska, Umag",54.64 m2,211.000 €,98.89 km,11.06.2025
"Istrska, Umag",60.55 m2,221.000 €,98.81 km,10.06.2025
"Istrska, Vižinada",415 m2,1.300.000 €,98.64 km,10.06.2025
"Istrska, Vižinada",360 m2,690.000 €,98.82 km,10.06.2025
"Istrska, Vižinada",406 m2,690.000 €,98.52 km,10.06.2025
"Celje, Nova vas",84 m2,295.000 €,64.20 km,09.06.2025
"Primorsko-goranska, Čavle",80 m2,1.600 €,71.47 km,09.06.2025
"Primorsko-goranska, Opatija - Okolica",160 m2,3.000 €,80.64 km,09.06.2025
"Primorsko-goranska, Opatija - Okolica",362 m2,1.150.000 €,80.68 km,09.06.2025
"Primorsko-goranska, Mrkopalj",142 m2,135.000 €,90.33 km,08.06.2025
"Primorsko-goranska, Mrkopalj",266 m2,100.000 €,90.33 km,08.06.2025
"Primorsko-goranska, Mrkopalj",121 m2,100.000 €,90.18 km,08.06.2025
"Primorsko-goranska, Lovran",135 m2,390.000 €,86.72 km,07.06.2025
"Žalec, Gotovlje",59.2 m2,150.000 €,55.83 km,06.06.2025
"Primorsko-goranska, Opatija",340 m2,1.870.000 €,79.45 km,06.06.2025
"Primorsko-goranska, Omišalj",268 m2,1.340.000 €,93.93 km,06.06.2025
"Primorsko-goranska, Mošćenička Draga",240 m2,990.000 €,94.36 km,06.06.2025
"Primorsko-goranska, Mošćenička Draga",316 m2,1.750.000 €,94.31 km,06.06.2025
"Primorsko-goranska, Mošćenička Draga",150 m2,550.000 €,94.38 km,06.06.2025
"Primorsko-goranska, Opatija - Okolica",400 m2,8.400.000 €,80.80 km,06.06.2025
"Primorsko-goranska, Crikvenica",66.95 m2,210.000 €,96.14 km,06.06.2025
"Istrska, Umag",91 m2,410.000 €,98.69 km,06.06.2025
"Primorsko-goranska, Rijeka",95.73 m2,1.500 €,77.36 km,06.06.2025
"Šoštanj, Šoštanj",96.7 m2,160.000 €,57.73 km,05.06.2025
"Primorsko-goranska, Opatija - Okolica",470 m2,100 €,80.96 km,05.06.2025
"Primorsko-goranska, Matulji",55 m2,800 €,72.13 km,05.06.2025
"Primorsko-goranska, Matulji",65 m2,900 €,72.23 km,05.06.2025
"Primorsko-goranska, Lovran",290 m2,778.000 €,86.79 km,05.06.2025
"Primorsko-goranska, Mrkopalj",190 m2,235.000 €,90.34 km,05.06.2025
"Sežana, Sežana",176.3 m2,1.000 €,60.39 km,04.06.2025
"Izola, Izola",51.5 m2,249.000 €,85.24 km,04.06.2025
"Istrska, Umag",126 m2,790.000 €,98.60 km,04.06.2025
"Primorsko-goranska, Opatija",52 m2,228.000 €,72.39 km,04.06.2025
"Primorsko-goranska, Rijeka",43.2 m2,1.000 €,77.61 km,04.06.2025
"Primorsko-goranska, Rijeka",59.6 m2,1.300 €,77.64 km,04.06.2025
"Primorsko-goranska, Rijeka",98.4 m2,2.000 €,77.62 km,04.06.2025
"Primorsko-goranska, Rijeka",32.4 m2,700 €,77.53 km,04.06.2025
"Polzela, Polzela",99 m2,189.500 €,54.36 km,04.06.2025
"Žalec, Žalec",59 m2,162.000 €,57.16 km,04.06.2025
"Primorsko-goranska, Fužine",200 m2,332.000 €,84.29 km,04.06.2025
"Primorsko-goranska, Crikvenica",62.95 m2,197.000 €,96.23 km,03.06.2025
"Primorsko-goranska, Vinodolska Općina",240 m2,690.000 €,94.28 km,03.06.2025
"Primorsko-goranska, Crikvenica",380 m2,1.560.000 €,96.26 km,03.06.2025
"Istrska, Buzet",86 m2,315.000 €,82.73 km,03.06.2025
"Primorsko-goranska, Matulji",72.4 m2,202.720 €,72.07 km,02.06.2025
"Primorsko-goranska, Matulji",72.4 m2,202.720 €,72.09 km,02.06.2025
"Primorsko-goranska, Jelenje",280 m2,290.000 €,66.29 km,02.06.2025
"Primorsko-goranska, Matulji",75 m2,210.000 €,72.15 km,02.06.2025
"Primorsko-goranska, Opatija",750 m2,100 €,79.66 km,02.06.2025
"Primorsko-goranska, Rijeka",98.37 m2,675.000 €,77.47 km,02.06.2025
"Primorsko-goranska, Crikvenica",126 m2,280.000 €,96.22 km,02.06.2025
"Primorsko-goranska, Opatija - Okolica",573 m2,1.650.000 €,80.85 km,02.06.2025
"Primorsko-goranska, Rijeka",172.27 m2,450.000 €,77.48 km,02.06.2025
"Primorsko-goranska, Rijeka",150 m2,450.000 €,77.38 km,02.06.2025
"Primorsko-goranska, Crikvenica",60.61 m2,135.000 €,96.24 km,02.06.2025
"Primorsko-goranska, Crikvenica",400 m2,799.000 €,96.25 km,02.06.2025
"Istrska, Umag",113.9 m2,1.008.000 €,98.81 km,02.06.2025
"Istrska, Buje",170 m2,520.000 €,93.07 km,02.06.2025
"Ljubljana Center, Center",73.4 m2,288.000 €,2.01 km,02.06.2025
"Ljubljana Center, Center",103.2 m2,499.000 €,2.37 km,02.06.2025
"Primorsko-goranska, Omišalj",59.3 m2,299.000 €,93.79 km,01.06.2025
"Primorsko-goranska, Matulji",72.4 m2,202.720 €,72.39 km,31.05.2025
"Primorsko-goranska, Kraljevica",460 m2,2.100.000 €,87.57 km,31.05.2025
"Ljubljana Šiška, Brod",392.1 m2,1.150.000 €,6.83 km,30.05.2025
"Slovenska Bistrica, Visole",183.51 m2,69.000 €,89.25 km,30.05.2025
"Tržič, Tržič",42.1 m2,170.000 €,37.63 km,29.05.2025
"Primorsko-goranska, Bakar",155 m2,295.000 €,78.42 km,28.05.2025
"Primorsko-goranska, Matulji",290 m2,1.800.000 €,72.31 km,28.05.2025
"Primorsko-goranska, Opatija",89 m2,410.000 €,79.39 km,28.05.2025
"Primorsko-goranska, Crikvenica",161.59 m2,395.000 €,96.17 km,28.05.2025
"Istrska, Vižinada",132 m2,655.000 €,98.51 km,28.05.2025
"Velenje, Plešivec",138 m2,145.000 €,62.43 km,27.05.2025
"Kranj, Kranj",77 m2,333.000 €,24.08 km,27.05.2025
"Slovenska Bistrica, Slovenska Bistrica",173.1 m2,380.000 €,92.16 km,27.05.2025
"Škofljica, Škofljica",237.13 m2,501.400 €,9.74 km,27.05.2025
"Slovenska Bistrica, Visole",151.1 m2,290.000 €,89.07 km,27.05.2025
"Škofljica, Škofljica",174.69 m2,365.000 €,9.74 km,27.05.2025
"Laško, Laško",500 m2,1.045.000 €,59.09 km,26.05.2025
"Istrska, Vižinada",280 m2,100 €,98.75 km,26.05.2025
"Istrska, Pazin - Okolica",230 m2,1.455.000 €,98.51 km,26.05.2025
"Ljubljana Moste Polje, Sostro",140.3 m2,428.000 €,9.67 km,26.05.2025
"Ljubljana Moste Polje, Sostro",150.2 m2,428.000 €,9.67 km,26.05.2025
"Ribnica na Pohorju, Ribnica na Pohorju",133.57 m2,65.000 €,81.52 km,26.05.2025
"Primorsko-goranska, Crikvenica",110 m2,430.000 €,96.25 km,24.05.2025
"Istrska, Pazin",109 m2,280.000 €,98.58 km,24.05.2025
"Istrska, Pazin",82 m2,285.000 €,98.63 km,24.05.2025
"Primorsko-goranska, Crikvenica",53.23 m2,363.000 €,96.35 km,24.05.2025
"Celje, Trnovlje pri Celju",154.4 m2,350.000 €,66.60 km,23.05.2025
"Istrska, Umag",398 m2,1.560.000 €,98.74 km,23.05.2025
"Primorsko-goranska, Mošćenička Draga",190 m2,1.700.000 €,94.45 km,23.05.2025
"Primorsko-goranska, Crikvenica",296 m2,1.040.000 €,96.35 km,23.05.2025
"Primorsko-goranska, Mošćenička Draga",330 m2,1.950.000 €,94.52 km,23.05.2025
"Primorsko-goranska, Matulji",255 m2,1.500.000 €,72.18 km,23.05.2025
"Primorsko-goranska, Opatija",200 m2,1.500.000 €,79.53 km,23.05.2025
"Celje, Dečkovo polje",162 m2,289.000 €,64.69 km,23.05.2025
"Primorsko-goranska, Rijeka",99 m2,389.000 €,77.62 km,23.05.2025
"Primorsko-goranska, Lovran",206.47 m2,1.350.000 €,86.96 km,23.05.2025
"Medvode, Medvode",36.1 m2,228.000 €,12.21 km,23.05.2025
"Slovenska Bistrica, Leskovec",132.25 m2,170.000 €,95.08 km,23.05.2025
"Slovenska Bistrica, Pragersko",109.5 m2,245.000 €,97.68 km,23.05.2025
"Slovenska Bistrica, Zgornja Brežnica",538.66 m2,690.000 €,89.80 km,23.05.2025
"Ljubljana Center, Center",308.1 m2,493.000 €,3.12 km,22.05.2025
"Ljubljana, Srednje Gameljne",56.7 m2,196.000 €,9.44 km,22.05.2025
"Šentjur, Vezovje",60 m2,690 €,72.38 km,22.05.2025
"Istrska, Umag",73.76 m2,310.000 €,98.80 km,22.05.2025
"Istrska, Umag",73.76 m2,310.000 €,98.82 km,22.05.2025
"Istrska, Umag",73.76 m2,310.000 €,98.70 km,22.05.2025
"Škofljica, Škofljica",174.69 m2,365.000 €,9.74 km,21.05.2025
"Primorsko-goranska, Rijeka",73.84 m2,260.000 €,77.61 km,21.05.2025
"Kranj, Kranj",113.7 m2,450.000 €,24.35 km,21.05.2025
"Istrska, Umag",79.31 m2,254.000 €,98.73 km,21.05.2025
"Istrska, Umag",82.9 m2,266.000 €,98.65 km,21.05.2025
"Ruše, Bezena",84.8 m2,160.000 €,97.58 km,21.05.2025
"Laško, Lahomno",97 m2,150.000 €,60.36 km,20.05.2025
"Laško, Lahomno",95 m2,150.000 €,60.70 km,20.05.2025
"Laško, Lahomno",209 m2,250.000 €,60.43 km,20.05.2025
"Laško, Lahomno",300 m2,350.000 €,60.43 km,20.05.2025
"Laško, Lahomno",300 m2,200.000 €,60.43 km,20.05.2025
"Primorsko-goranska, Crikvenica",150 m2,549.000 €,96.32 km,20.05.2025
"Istrska, Umag",166 m2,470.000 €,98.72 km,20.05.2025
"Istrska, Karojba",357 m2,1.650.000 €,97.83 km,20.05.2025
"Primorsko-goranska, Vinodolska Općina",273.6 m2,94.000 €,94.32 km,20.05.2025
"Celje, Center",67.2 m2,195.000 €,63.47 km,20.05.2025
"Primorsko-goranska, Rijeka",120 m2,365.000 €,77.65 km,20.05.2025
"Primorsko-goranska, Rijeka",78.93 m2,475.000 €,77.62 km,20.05.2025
"Istrska, Buje",180 m2,670.000 €,93.06 km,20.05.2025
"Istrska, Buje",210 m2,870.000 €,92.98 km,20.05.2025
"Istrska, Buje",288 m2,1.200.000 €,92.98 km,20.05.2025
"Primorsko-goranska, Omišalj",349 m2,2.400.000 €,93.90 km,20.05.2025
"Istrska, Pazin",42000 m2,1.800.000 €,98.60 km,20.05.2025
"Nova Gorica, Nova Gorica",77.9 m2,232.000 €,62.92 km,20.05.2025
"Izola, Izola",72 m2,340.000 €,85.52 km,20.05.2025
"Ljubljana Moste Polje, Sneberje",71.6 m2,245.000 €,7.35 km,20.05.2025
"Ljubljana Bežigrad, Ježica",73.3 m2,324.000 €,5.09 km,20.05.2025
"Primorsko-goranska, Matulji",72 m2,245.000 €,72.36 km,20.05.2025
"Primorsko-goranska, Opatija",55.82 m2,299.000 €,79.52 km,20.05.2025
"Primorsko-goranska, Crikvenica",247 m2,1.000.000 €,96.21 km,19.05.2025
"Primorsko-goranska, Vinodolska Općina",120 m2,370.000 €,94.24 km,19.05.2025
"Primorsko-goranska, Kostrena",90 m2,280.000 €,82.98 km,19.05.2025
"Primorsko-goranska, Crikvenica",140 m2,639.000 €,96.24 km,19.05.2025
"Primorsko-goranska, Kraljevica",400 m2,940.000 €,87.67 km,19.05.2025
"Primorsko-goranska, Crikvenica",150 m2,499.000 €,96.29 km,18.05.2025
"Primorsko-goranska, Matulji",99.83 m2,350.000 €,72.15 km,18.05.2025
"Primorsko-goranska, Matulji",100 m2,69.000 €,72.16 km,17.05.2025
"Kranj, Kranj",54 m2,210.000 €,24.42 km,16.05.2025
"Primorsko-goranska, Rijeka",140 m2,420.000 €,77.60 km,16.05.2025
"Primorsko-goranska, Matulji",399 m2,725.000 €,72.22 km,16.05.2025
"Istrska, Karojba",212 m2,100 €,97.67 km,15.05.2025
"Istrska, Lupoglav",120.97 m2,365.000 €,84.29 km,15.05.2025
"Primorsko-goranska, Vinodolska Općina",180 m2,680.000 €,94.03 km,14.05.2025
"Primorsko-goranska, Rijeka",345 m2,1.500.000 €,77.58 km,14.05.2025
"Primorsko-goranska, Rijeka",64.9 m2,1.300 €,77.39 km,14.05.2025
"Istrska, Umag",126 m2,870.000 €,98.73 km,14.05.2025
"Istrska, Umag",126 m2,790.000 €,98.77 km,14.05.2025
"Istrska, Umag",126 m2,870.000 €,98.77 km,14.05.2025
"Primorsko-goranska, Rijeka",70.7 m2,230.000 €,77.42 km,14.05.2025
"Primorsko-goranska, Rijeka",102.55 m2,200.000 €,77.57 km,14.05.2025
"Istrska, Buje",280 m2,1.180.000 €,93.25 km,14.05.2025
"Istrska, Buzet",56 m2,62.300 €,82.56 km,14.05.2025
"Primorsko-goranska, Rijeka",140 m2,380.000 €,77.38 km,14.05.2025
"Istrska, Buzet",210 m2,1.650.000 €,82.70 km,14.05.2025
"Izola, Izola",39.1 m2,249.000 €,85.22 km,14.05.2025
"Istrska, Buje",79 m2,219.000 €,93.08 km,14.05.2025
"Primorsko-goranska, Lovran",78 m2,649.000 €,86.89 km,13.05.2025
"Primorsko-goranska, Opatija",112.12 m2,691.300 €,79.58 km,13.05.2025
"Primorsko-goranska, Opatija",101.29 m2,648.200 €,79.39 km,13.05.2025
"Primorsko-goranska, Opatija",95.98 m2,599.800 €,79.42 km,13.05.2025
"Primorsko-goranska, Opatija",67.77 m2,550.000 €,79.52 km,13.05.2025
"Primorsko-goranska, Crikvenica",246 m2,1.537.500 €,96.33 km,13.05.2025
"Primorsko-goranska, Kraljevica",200 m2,580.000 €,87.54 km,13.05.2025
"Primorsko-goranska, Rijeka",95.7 m2,675.000 €,77.51 km,13.05.2025
"Primorsko-goranska, Rijeka",99.9 m2,625.000 €,77.67 km,13.05.2025
"Primorsko-goranska, Kostrena",175 m2,415.000 €,82.95 km,13.05.2025
"Primorsko-goranska, Delnice",250 m2,559.000 €,70.52 km,13.05.2025
"Primorsko-goranska, Ravna Gora",110 m2,375.000 €,83.00 km,13.05.2025
"Istrska, Umag",533 m2,2.847.000 €,98.50 km,13.05.2025
"Istrska, Umag",275 m2,1.704.000 €,98.81 km,13.05.2025
"Primorsko-goranska, Mošćenička Draga",870 m2,100 €,94.33 km,13.05.2025
"Istrska, Umag",64.2 m2,602.000 €,98.62 km,13.05.2025
"Istrska, Umag",61.4 m2,461.000 €,98.62 km,13.05.2025
"Istrska, Umag",427 m2,2.323.000 €,98.79 km,13.05.2025
"Istrska, Umag",95.6 m2,686.000 €,98.74 km,13.05.2025
"Koper, Sočerga",196 m2,421.000 €,78.68 km,13.05.2025
"Slovenska Bistrica, Visole",65 m2,109.000 €,89.18 km,12.05.2025
"Primorsko-goranska, Vinodolska Općina",240 m2,280.000 €,94.21 km,10.05.2025
"Ljubljana Center, Center",106 m2,498.000 €,2.18 km,08.05.2025
"Istrska, Buje",347.17 m2,1.290.000 €,93.03 km,08.05.2025
"Primorsko-goranska, Rijeka",28 m2,350 €,77.53 km,08.05.2025
"Rače, Ranče",108.4 m2,119.000 €,98.46 km,07.05.2025
"Ljubljana Bežigrad, Bežigrad",83.6 m2,369.000 €,4.36 km,07.05.2025
"Istrska, Umag",80.17 m2,257.000 €,98.80 km,07.05.2025
"Istrska, Umag",81.8 m2,262.000 €,98.73 km,07.05.2025
"Slovenska Bistrica, Trnovec pri Slovenski Bistrici",180 m2,195.000 €,96.20 km,07.05.2025
"Ljubljana Vič Rudnik, Rakova jelša",79.6 m2,255.000 €,2.41 km,06.05.2025
"Istrska, Umag",83.63 m2,343.000 €,98.63 km,06.05.2025
"Istrska, Umag",126 m2,810.000 €,98.80 km,06.05.2025
"Istrska, Umag",126 m2,870.000 €,98.69 km,06.05.2025
"Istrska, Umag",126 m2,870.000 €,98.80 km,06.05.2025
"Istrska, Umag",126 m2,810.000 €,98.82 km,06.05.2025
"Šentjur, Grobelno",162.4 m2,295.000 €,77.15 km,04.05.2025
"Rogaška Slatina, Irje",68 m2,35.500 €,91.36 km,29.04.2025
"Primorsko-goranska, Rijeka",99.5 m2,389.000 €,77.64 km,28.04.2025
"Medvode, Hraše",339 m2,599.000 €,15.09 km,28.04.2025
"Celje, Dečkovo polje",45.8 m2,128.000 €,63.95 km,28.04.2025
"Brežice, Brežice",140 m2,349.900 €,87.31 km,28.04.2025
"Primorsko-goranska, Kostrena",200 m2,850.000 €,83.09 km,26.04.2025
"Celje, Center",120 m2,199.900 €,63.40 km,24.04.2025
"Komenda, Žeje pri Komendi",140 m2,360.000 €,16.33 km,24.04.2025
"Istrska, Umag",55.59 m2,208.000 €,98.96 km,24.04.2025
"Ljubljana Center, Center",307 m2,990.000 €,2.19 km,23.04.2025
"Kranj, Kranj",69.7 m2,329.000 €,23.98 km,23.04.2025
"Ljubljana Center, Center",202.7 m2,2.000.000 €,2.35 km,23.04.2025
"Ljubljana Moste Polje, Moste",71.4 m2,77.000 €,5.41 km,23.04.2025
"Istrska, Umag",206.8 m2,655.000 €,98.97 km,22.04.2025
Hrvaška,420 m2,420.000 €,99.08 km,22.04.2025
"Primorsko-goranska, Rijeka",245.87 m2,1.103.956 €,77.61 km,18.04.2025
"Primorsko-goranska, Crikvenica",310 m2,100 €,96.37 km,18.04.2025
"Primorsko-goranska, Rijeka",50.12 m2,204.990 €,77.51 km,18.04.2025
"Primorsko-goranska, Rijeka",50.12 m2,204.990 €,77.68 km,18.04.2025
"Primorsko-goranska, Rijeka",50.12 m2,210.002 €,77.71 km,18.04.2025
"Primorsko-goranska, Rijeka",50.12 m2,210.002 €,77.53 km,18.04.2025
"Primorsko-goranska, Rijeka",79.52 m2,317.284 €,77.49 km,18.04.2025
"Primorsko-goranska, Rijeka",68.66 m2,280.819 €,77.54 km,18.04.2025
"Primorsko-goranska, Rijeka",68.66 m2,280.819 €,77.39 km,18.04.2025
"Primorsko-goranska, Rijeka",68.66 m2,280.819 €,77.60 km,18.04.2025
"Primorsko-goranska, Rijeka",68.66 m2,294.551 €,77.56 km,18.04.2025
"Primorsko-goranska, Rijeka",68.66 m2,287.685 €,77.56 km,18.04.2025
"Primorsko-goranska, Rijeka",68.66 m2,294.551 €,77.64 km,18.04.2025
"Primorsko-goranska, Rijeka",106.21 m2,423.777 €,77.55 km,18.04.2025
"Primorsko-goranska, Rijeka",84.46 m2,336.995 €,77.72 km,18.04.2025
"Primorsko-goranska, Rijeka",84.46 m2,345.441 €,77.49 km,18.04.2025
"Primorsko-goranska, Rijeka",84.46 m2,345.441 €,77.61 km,18.04.2025
"Primorsko-goranska, Rijeka",84.46 m2,353.887 €,77.59 km,18.04.2025
"Primorsko-goranska, Rijeka",84.46 m2,353.887 €,77.54 km,18.04.2025
"Primorsko-goranska, Rijeka",84.46 m2,362.333 €,77.35 km,18.04.2025
"Primorsko-goranska, Rijeka",84.46 m2,370.779 €,77.57 km,18.04.2025
"Primorsko-goranska, Rijeka",85.2 m2,331.428 €,77.55 km,18.04.2025
"Primorsko-goranska, Rijeka",85.2 m2,339.948 €,77.51 km,18.04.2025
"Primorsko-goranska, Rijeka",85.2 m2,331.428 €,77.63 km,18.04.2025
"Primorsko-goranska, Rijeka",85.2 m2,339.948 €,77.55 km,18.04.2025
"Primorsko-goranska, Rijeka",85.2 m2,348.468 €,77.57 km,18.04.2025
"Primorsko-goranska, Rijeka",85.2 m2,356.988 €,77.59 km,18.04.2025
"Primorsko-goranska, Rijeka",85.2 m2,348.468 €,77.37 km,18.04.2025
"Primorsko-goranska, Rijeka",85.2 m2,356.988 €,77.57 km,18.04.2025
"Primorsko-goranska, Rijeka",85.2 m2,365.508 €,77.60 km,18.04.2025
"Istrska, Karojba",140 m2,690.000 €,97.73 km,18.04.2025
"Primorsko-goranska, Rijeka",57.02 m2,227.509 €,77.58 km,18.04.2025
"Primorsko-goranska, Rijeka",251.36 m2,1.128.606 €,77.41 km,18.04.2025
"Primorsko-goranska, Rijeka",255.31 m2,1.146.341 €,77.57 km,18.04.2025
"Istrska, Vižinada",87 m2,225.000 €,98.63 km,17.04.2025
"Istrska, Cerovlje",200 m2,100 €,90.46 km,17.04.2025
"Istrska, Pićan",366 m2,93.000 €,99.24 km,17.04.2025
"Primorsko-goranska, Rijeka",51.09 m2,203.849 €,77.54 km,17.04.2025
"Primorsko-goranska, Rijeka",51.09 m2,208.958 €,77.58 km,17.04.2025
"Primorsko-goranska, Rijeka",51.09 m2,214.067 €,77.77 km,17.04.2025
"Primorsko-goranska, Rijeka",51.09 m2,219.176 €,77.57 km,17.04.2025
"Primorsko-goranska, Rijeka",69.28 m2,283.355 €,77.62 km,17.04.2025
"Primorsko-goranska, Rijeka",69.28 m2,290.283 €,77.51 km,17.04.2025
"Primorsko-goranska, Rijeka",102.99 m2,410.930 €,77.74 km,16.04.2025
"Primorsko-goranska, Rijeka",124.61 m2,497.313 €,77.47 km,16.04.2025
"Primorsko-goranska, Rijeka",104.41 m2,416.595 €,77.52 km,16.04.2025
"Primorsko-goranska, Rijeka",102.99 m2,441.827 €,77.54 km,16.04.2025
"Primorsko-goranska, Rijeka",104.41 m2,437.477 €,77.37 km,16.04.2025
"Primorsko-goranska, Rijeka",104.41 m2,447.918 €,77.60 km,16.04.2025
"Primorsko-goranska, Rijeka",104.41 m2,468.800 €,77.66 km,16.04.2025
"Primorsko-goranska, Rijeka",104.41 m2,468.800 €,77.33 km,16.04.2025
